0,1,"A sudden, agonizing headache, more severe than any you have felt before, could mean you are bleeding in the brain. This event is an emer gency."
0,2,"Brain tumors usually cause headaches that get progressively worse. These headaches may get especially bad around two A.M. Other signs, such as seizures, weakness, or loss of sensation in a part of the body, can also occur."
0,3,A headache accompanied by a stiff neck and fever is an indicator of a serious infection called meningitis
0,4,"If you are suffering from symptoms of nausea, headache, and tiredness, think of carbon monoxide poisoning, especially if it happens indoors and to someone else who is living with you."
0,5,"If you have tenderness over your temples and/or blurred vision when you have a headache, you may have a serious condition called temporal arteritis."
0,6,It is possible for dizziness to suddenly become so severe as to render you nonfunctional and cause you to have a wreck if you are driving a vehicle.Nausea and vomiting may also occur.
0,7,"Passing out or nearly passing out, with a feeling of dizziness (light-headedness) when you sit up or attempt to stand, is often a result of a drop in blood pressure (orthostatic hypotension). Causes include internal hemorrhage, serious heart irregu larities, and severe dehydration. The symptoms can also occur as a side effect of certain medica tions. The cause may be life-threatening, and injury from a fall due to dizziness may be fatal."
0,8,"Some signs of hypoglycemia (low blood sugar) are weakness, a rapid heartbeat, dizziness, pro fuse sweating, ""acting weird,"" blackouts, and/or seizures, followed by unconsciousness. Most people who think they have hypoglycemia actually do not, except for diabetics. Although this condition is extremely rare in the general population, it can be fatal if not treated. Drinking fruit juice and putting sugar under the tongue immediately fol lowing the onset of symptoms can be lifesaving.Emergency evaluation and treatment are also necessary."
0,9,"Head injury: How serious is it?A head injury that causes nausea, vomiting, dizziness, drowsiness, mental confusion, or any loss of consciousness needs immediate medical evaluation. If any of these symptoms occur hours or days after a head injury, it constitutes a medical emergency. Always examine the injured per son for slurred speech, confusion, unequal pupils, weakness, or clumsiness in an arm or leg, which also denote a medical emergency."
0,10,"If a person becomes loud, abusive, combative, or profane after a head injury, he or she may have a significant brain injury and is in need of emergency medical evaluation."
0,11,"Fatigue, anxiety, and panic disorders may all be related to a medical condition known as depression. In its extreme form, depression can lead to self-destruction. You must know something about it in order to combat it. Effective medicine is available to treat all these disorders."
0,12,"Delirium means that something is wrong which is affecting the brain, and it could be very serious."
0,13,"Senility in senior citizens is not always due to Alzheimer's disease or stroke. There is a rare, cur able cause that is often associated with an unusual way of walking and/or urinary incontinence."
0,14,"A sudden change in personality may not be the result of a primary psychiatric disorder but may occur from chemical changes in the blood or a side effect of certain medications. Personality changes can also be caused by tumors, a brain injury (that may be unwitnessed), and bleeding in the brain."
1,15,"If one of your eyelids droops, you're seeing double, and/or your pupils are unequal in size, you may have a ballooning blood vessel (aneurysm) in your brain that could burst, or a brain tumor."
1,16,"If your eyelids droop part of the time and you have double vision, or your jaw gets tired while chewing, you may have a serious neurological problem."
1,17,"When the view you see becomes narrowed, it may be an important symptom of a pituitary gland tumor, a brain tumor, a stroke, an injury to the retina of the eye, or advanced glaucoma."
1,18,"If it seems as though a dark gray curtain or haze s going down over one eye or part of your vision and then back up, it can be a sign that you are about to have a stroke."
1,19,A sudden loss of vision in one eye or part of your vision that usually lasts for a few seconds to a few minutes may be the warning sign of a major stroke.
2,20,"Gradual hearing loss in one ear sometimes with a sense that the room is spinning around and/or ringing in the ear may be an indication of a tumor of or near the nerve responsible for hearing.
Sudden vertigo and ringing in the ears followed by hearing loss can signal a rare, life-threatening total body disease, which, if treated within two weeks, is potentially curable (Logan's syndrome)."
2,21,Hearing the sound of your heart beating inside your head usually in association with episodic headaches could mean that you have a blood vessel malformation that can cause a stroke.
2,22,Nosebleeds are usually easily controlled but can be fatal in rare cases.
2,23,Infections of the upper lip or nose can be dangerous and spread to the inside of the head.
2,24,Fruity-smelling breath may indicate a serious blood Sugar problem when diabetes gets out of control and your blood becomes dangerously acidic.
2,25,A metallic taste on the tongue or a garlic odor on the breath may indicate arsenic poisoning.
2,26,"A sore inside the mouth, on the tongue, or in the throat that does not heal may be cancer. White spots in these areas may also be a sign of early cancer."
2,27,"Any ulcer (sore with superficial loss of tissue) in the mouth that lasts for more than three weeks should be evaluated by your doctor or dentist, an oral surgeon, or an ear-nose-throat specialist to rule out cancer."
